nombre_comida,calorias,carbohidratos,proteinas,grasas,azucar,sodio,precio,tipo,Apto_Veganos,Apto_Vegetarianos,Apto_Celiacos,0
Pollo tikka masala,600,50,35,25,8,800,7.0,2,0,0,0,0
Cazuela de mariscos,700,40,50,25,3,900,8.5,2,0,0,0,0
Falafel con ensalada,450,40,15,25,5,500,5.5,2,0,0,0,0
Camarones al ajillo,400,5,35,25,1,600,8.0,2,0,0,0,0
Estofado de res con papas,650,30,45,25,4,800,9.0,2,0,0,0,0
Ensalada César con pollo,500,20,40,30,2,700,7.0,2,0,0,0,0
Pollo a la parrilla con quinoa,450,35,35,12,3,600,6.0,2,0,0,0,0
Tortilla española,500,30,20,30,6,700,5.0,2,0,0,0,0
Pollo a la mostaza con papas,550,45,35,20,4,600,6.5,2,0,0,0,0
Pechuga de pavo al horno,400,5,40,15,1,300,7.5,2,0,0,0,0
Moussaka,600,50,25,30,5,800,8.0,2,1,1,0,0
Ensalada mixta,120,10,3,7,5,150,3.0,3,1,1,0,0
Patatas bravas,250,30,5,12,1,400,2.5,3,1,1,0,0
Brócoli al vapor,50,10,4,0,2,20,1.5,3,1,1,0,0
Guacamole con nachos,350,25,6,25,2,500,4.0,3,1,1,0,0
Hummus con zanahorias,200,20,6,10,1,150,2.5,3,1,1,0,0
Macarrones con queso,450,60,15,20,5,600,3.0,3,1,1,0,0
Ensalada de col,150,15,2,10,5,300,1.8,3,1,1,0,0
Arroz pilaf,200,40,4,3,1,350,2.0,3,1,1,0,0
Garbanzos al curry,250,40,8,6,2,450,2.8,3,1,1,0,0
Tostadas de ajo,300,35,7,15,1,400,2.2,3,1,1,0,0
Espárragos a la parrilla,100,10,5,5,2,150,3.0,3,1,1,0,0
Judías verdes salteadas,80,15,4,2,1,200,2.0,3,1,1,0,0
Puré de patatas,200,30,4,10,2,300,2.5,3,1,1,0,0
Coles de Bruselas asadas,150,20,5,7,3,250,3.0,3,1,1,0,0
Cuscús con vegetales,180,35,6,3,2,200,2.5,3,1,1,0,0
Patatas al horno,160,35,4,2,1,300,2.0,3,1,1,0,0
Falafel,300,40,10,15,1,350,3.5,3,1,1,0,0
Ensalada de quinoa,250,45,8,6,2,300,3.0,3,1,1,0,0
Batatas fritas,300,50,4,12,5,400,3.5,3,1,1,0,0
Champiñones salteados,100,10,4,5,1,200,2.5,3,1,1,0,0
Tabbouleh,150,25,5,3,1,200,2.0,3,1,1,0,0
Col rizada al horno,80,15,3,2,1,150,3.0,3,1,1,0,0
Lentejas guisadas,200,30,10,5,1,250,2.8,3,1,1,0,0
Ensalada de espinacas con fresas,150,20,4,7,5,100,2.0,3,1,1,0,0
Tomates asados,90,15,2,4,3,150,2.5,3,1,1,0,0
Jugo de naranja,120,30,2,0,25,5,1.2,4,1,1,0,0
Té verde sin azúcar,0,0,0,0,0,0,0.5,4,1,1,0,0
Limonada,150,40,0,0,30,10,2.0,4,1,1,0,0
Batido de fresa,200,45,5,2,35,20,3.0,4,1,1,0,0
Café con leche,120,12,6,4,10,40,2.0,4,1,1,0,0
Smoothie de mango,180,40,2,1,30,5,2.5,4,1,1,0,0
Agua de coco,60,15,1,0,12,15,2.0,4,1,1,0,0
Jugo de manzana,100,25,0,0,22,5,1.5,4,1,1,0,0
Leche de almendra,30,1,1,2,0,150,1.8,4,1,1,0,0
Batido de proteínas,250,20,30,5,10,100,4.0,4,1,1,0,0
Agua con gas,0,0,0,0,0,0,0.5,4,1,1,0,0
Té helado,80,20,0,0,18,15,1.5,4,1,1,0,0
Chocolate caliente,250,40,5,8,30,200,3.0,4,1,1,0,0
Jugo de uva,150,35,1,0,32,10,2.0,4,1,1,0,0
Smoothie verde,130,30,3,1,25,20,2.5,4,1,1,0,0
Refresco de cola,150,40,0,0,40,35,1.2,4,1,1,0,0
Lassi de mango,180,35,5,3,25,150,3.0,4,1,1,0,0
Té de hierbas,0,0,0,0,0,0,0.8,4,1,1,0,0
Batido de plátano y avena,180,40,5,2,20,20,1.5,4,1,1,1,0
Jugo de arándano,120,30,0,0,28,10,1.5,4,1,1,0,0
Tarta de manzana,400,60,5,20,30,20,3.5,5,1,1,0,0
Helado de vainilla,250,30,4,15,25,80,2.0,5,0,1,0,0
Brownie de chocolate,450,50,5,25,35,200,3.0,5,0,1,0,0
Tiramisu,500,60,7,25,40,150,4.0,5,0,1,0,0
Mousse de chocolate,350,40,6,18,30,100,3.0,5,0,1,0,0
Cheesecake,400,45,7,22,35,250,4.5,5,0,1,0,0
Panna cotta,300,25,5,20,20,50,2.5,5,0,1,0,0
Profiteroles,350,40,6,20,30,200,3.5,5,0,1,0,0
Tarta de queso con frutas,450,55,8,25,35,150,4.0,5,0,1,0,0
Gelatina con frutas,150,30,2,0,25,5,1.0,5,1,1,0,0
Galletas de chocolate,300,45,4,15,25,150,2.0,5,1,1,0,0
Flan de caramelo,250,35,6,10,20,100,2.5,5,0,1,0,0
Natillas,200,25,6,8,15,50,1.8,5,0,1,0,0
Cremoso de limón,180,30,4,7,20,30,2.0,5,0,1,0,0
Tarta de zanahoria,400,50,6,20,25,200,3.5,5,0,1,0,0
Macarons,150,20,3,6,18,100,2.5,5,0,1,0,0
Arroz con leche,250,40,6,8,20,150,2.0,5,0,1,0,0
Pastel de chocolate,450,55,7,22,35,250,4.0,5,0,1,0,0
Muffin de arándanos,350,50,5,15,30,200,3.0,5,0,1,0,0
Churros con chocolate,400,45,4,20,35,300,4.5,5,0,1,0,0
